f_weight f_lept1_pt f_lept1_eta f_lept1_phi f_lept2_pt f_lept2_eta f_lept2_phi f_lept3_pt f_lept3_eta f_lept3_phi f_lept4_pt f_lept4_eta f_lept4_phi f_jet1_pt f_jet1_eta f_jet1_phi f_jet2_pt f_jet2_eta f_jet2_phi 
1.0 67.3437423706 -2.43491792679 1.91007781029 53.0590782166 -2.07653331757 -2.65769910812 51.2243347168 -1.61830461025 -0.95473575592 9.73943805695 -1.08483290672 -0.549907743931 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 12.9790182114 -1.10019302368 -2.78533029556 66.472984314 -0.469046980143 0.393214821815 7.51412963867 -1.58494472504 -1.81597471237 8.77068042755 -0.879519879818 2.49909520149 41.0091018677 -2.24063014984 -2.96760821342 -999.0 -999.0 -999.0 
1.0 39.14585495 -0.564309597015 -0.205503374338 31.8157539368 0.960832774639 2.69606757164 128.246246338 1.69554805756 1.16010224819 16.0865135193 -0.00686036469415 1.88608634472 150.430648804 -0.72275352478 -1.98054540157 -999.0 -999.0 -999.0 
1.0 37.7831115723 1.57403469086 1.93028342724 36.5973777771 0.942861437798 -1.08191561699 5.82496595383 1.60690832138 -2.07976770401 8.13483810425 1.25000345707 0.225957140326 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 28.7143802643 0.82337385416 2.39974284172 22.4656028748 1.00211179256 -0.828431248665 11.9877767563 -1.21447110176 -0.805245518684 9.88865470886 0.838609814644 2.76061105728 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 34.2466545105 -1.90061533451 2.30697774887 56.3150253296 -2.29181623459 -0.761482059956 41.0988235474 -0.705478847027 -2.67162227631 43.025932312 0.493961960077 1.3321685791 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 66.4051513672 0.965939700603 -1.25114881992 35.2211647034 0.886286497116 0.606375455856 29.6203384399 0.377501666546 2.3349468708 8.45939540863 0.946212530136 -2.39048242569 44.4301681519 -0.442308753729 1.49279797077 -999.0 -999.0 -999.0 
1.0 49.8543891907 2.02977538109 -1.28605651855 40.8205795288 1.97408854961 1.98323965073 43.7759666443 0.752196967602 -1.11560487747 43.5486106873 1.80072879791 2.00367259979 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 46.4162979126 0.75975549221 -2.983471632 40.7187080383 -0.373768746853 1.18105530739 52.1098976135 1.26851522923 -0.412596642971 39.7348480225 0.624279856682 3.03992199898 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 27.8298377991 -1.3065366745 0.302942186594 31.2014713287 -0.921198666096 -2.68988585472 5.44192743301 -1.8254609108 -2.50798535347 31.8191280365 -1.03518879414 -2.98228526115 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
